,Referee_season_fouls,Season_season_fouls,Games_season_fouls,Total fouls_season_fouls,Shooting_season_fouls,Personal_season_fouls,Loose ball_season_fouls,Personal take_season_fouls,Offensive charge_season_fouls,Offensive_season_fouls,Kicked ball_season_fouls,Technical_season_fouls,Defensive goaltending_season_fouls,Shooting block_season_fouls,Defensive 3 seconds_season_fouls,Delay of game_season_fouls,Personal block_season_fouls,Flagrant 1_season_fouls,Away from play_season_fouls,Double technical_season_fouls,Clear path_season_fouls,Double personal_season_fouls,Inbound foul_season_fouls,Delay technical_season_fouls,Lane violation_season_fouls,Jump ball violation_season_fouls,Flagrant 2_season_fouls,Hanging technical_season_fouls,Unsportsmanlike technical_season_fouls,Taunting technical_season_fouls,Excess timeout technical_season_fouls,Double lane_season_fouls,Too many players technical_season_fouls,Regular Season_season_fouls,Playoffs_season_fouls,Regular Season # Games_season_fouls,Playoffs # Games_season_fouls,Total fouls_z-score,Shooting_z-score,Personal_z-score,Loose ball_z-score,Personal take_z-score,Offensive charge_z-score,Offensive_z-score,Kicked ball_z-score,Technical_z-score,Defensive goaltending_z-score,Shooting block_z-score,Defensive 3 seconds_z-score,Delay of game_z-score,Personal block_z-score,Flagrant 1_z-score,Away from play_z-score,Double technical_z-score,Clear path_z-score,Double personal_z-score,Inbound foul_z-score,Delay technical_z-score,Lane violation_z-score,other_fouls_z-score,Total fouls_avg_per_game,Shooting_avg_per_game,Personal_avg_per_game,Loose ball_avg_per_game,Personal take_avg_per_game,Offensive charge_avg_per_game,Offensive_avg_per_game,Kicked ball_avg_per_game,Technical_avg_per_game,Defensive goaltending_avg_per_game,Shooting block_avg_per_game,Defensive 3 seconds_avg_per_game,Delay of game_avg_per_game,Personal block_avg_per_game,Flagrant 1_avg_per_game,Away from play_avg_per_game,Double technical_avg_per_game,Clear path_avg_per_game,Double personal_avg_per_game,Inbound foul_avg_per_game,Delay technical_avg_per_game,Lane violation_avg_per_game,other_fouls_avg_per_game,component_1,component_2,y
22,Eric Lewis,4,278,4262,1694,1592,263,110,135,53,88,98,39,35,47,24,31,11,13,6,2,8,6,1,2,0,0,3,0,0,1,0,0,4,4,242.0,36.0,1.161561947954302,-0.19167552025173779,2.007835678353376,0.7667336626848958,0.05764204760471879,1.2833979685615053,-0.5864013556077176,1.0281364944953733,1.2972355531972422,-0.01369102603095998,0.13909073144983813,0.6741758067045253,-0.4508722594484598,0.3237049952103493,0.22542833598918938,0.802750382796916,-0.03998390086492076,-0.5609543969185165,1.5735752071692148,1.69266594849927,-0.33685306278120764,0.368431544740903,0.6050548001232524,15.33093525179856,6.093525179856115,5.726618705035971,0.9460431654676259,0.39568345323741005,0.4856115107913669,0.1906474820143885,0.31654676258992803,0.35251798561151076,0.14028776978417265,0.12589928057553956,0.16906474820143885,0.08633093525179857,0.11151079136690648,0.039568345323741004,0.046762589928057555,0.02158273381294964,0.007194244604316547,0.02877697841726619,0.02158273381294964,0.0035971223021582736,0.007194244604316547,0.014388489208633094,1.9686154363051878,-1.4903977330104299,0
23,Evan Scott,2,39,457,234,122,32,12,13,5,9,20,2,0,2,3,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,39.0,0.0,-1.272967401973889,-0.3375524043514668,-1.9053902497690507,0.18249763600351976,-0.9763230310989459,-0.44644039060095614,-0.9394694681510128,-0.15316976110362687,2.7921555571947887,-1.6353118659153278,-1.3991549670187562,-0.7282509353832901,-0.6439418719389502,-1.3866227639976907,-0.2664489081509696,-0.17018123401183424,-0.9229316841551662,-1.335945748065926,-0.6921830684635563,-0.8611481709855304,-0.8383664271519197,-0.7685073747299496,1.7770949240425162,11.717948717948717,6.0,3.128205128205128,0.8205128205128205,0.3076923076923077,0.3333333333333333,0.1282051282051282,0.23076923076923078,0.5128205128205128,0.05128205128205128,0.0,0.05128205128205128,0.07692307692307693,0.0,0.02564102564102564,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,-4.646170253454606,-1.092162099519793,2
24,Gary Zielinski,2,121,1698,708,582,86,37,39,63,51,12,17,20,38,13,16,2,1,3,1,5,1,0,3,0,0,0,0,0,0,0,0,2,1,119.0,2.0,0.28701658370622013,-0.5695828964160063,0.6272781251460593,-0.328382943943316,-0.9987339379974042,-0.5716164337706482,1.2795966127795733,2.47335494476032,-1.0653576368883344,-0.009899628871807273,0.6203600467912521,2.400495717299015,-0.017709273719916756,0.6415131658763061,-0.5882649322575572,-0.9706052528061706,0.09136370326090086,-0.4456664273263399,2.5613334636950715,0.11675861305961352,-0.8383664271519197,3.14970361220679,-0.8936194566915441,14.03305785123967,5.851239669421488,4.809917355371901,0.7107438016528925,0.30578512396694213,0.32231404958677684,0.5206611570247934,0.4214876033057851,0.09917355371900827,0.14049586776859505,0.1652892561983471,0.3140495867768595,0.10743801652892562,0.1322314049586777,0.01652892561983471,0.008264462809917356,0.024793388429752067,0.008264462809917356,0.04132231404958678,0.008264462809917356,0.0,0.024793388429752067,0.0,2.6956135798354945,-0.8539383535288165,0
25,Gediminas Petraitis,4,233,2946,1382,941,174,80,82,38,56,55,21,30,14,23,26,6,3,1,5,0,1,3,0,4,0,0,1,0,0,0,0,4,2,230.0,3.0,-0.6491190493335738,-0.44466042357820645,-0.5342902148618982,-0.16066017313603947,-0.5573448746625432,-0.23517224048730184,-0.742219035568549,-0.021317469360042075,0.21111371245448585,-0.9275525672819911,0.17398655661436171,-0.6234251441678509,-0.19677685679435084,0.3248889407725867,-0.2625623187790865,-0.7582034012785204,-0.7473526542877211,0.9757237328244156,-0.6921830684635563,-0.3533081672539321,0.9567500787930324,-0.7685073747299496,-0.4465900109892765,12.643776824034335,5.931330472103005,4.03862660944206,0.7467811158798283,0.34334763948497854,0.351931330472103,0.1630901287553648,0.24034334763948498,0.23605150214592274,0.09012875536480687,0.12875536480686695,0.060085836909871244,0.09871244635193133,0.11158798283261803,0.02575107296137339,0.012875536480686695,0.004291845493562232,0.02145922746781116,0.0,0.004291845493562232,0.012875536480686695,0.0,0.004291845493562232,-0.3871282036699412,2.2556453676773653,1
26,Haywoode Workman,4,169,2351,1076,722,138,56,65,65,48,24,22,31,31,26,27,5,4,4,2,0,1,1,2,1,0,0,0,0,0,0,0,4,0,169.0,0.0,0.20493413114513903,0.23466743505292983,-0.18254337330016132,0.16413810224243647,-0.6981979301027011,0.13610965645799564,0.5103523233857092,0.580236752918383,-0.6658642307545684,-0.1978926758384707,0.8420287065911078,0.845244667178462,0.9346861360715302,1.0637914678434142,-0.12712962758962046,-0.2610361179462758,0.04535030304281492,-0.06110790416663704,-0.6921830684635563,-0.1609900593319067,-0.013391780435600506,1.1017235105534646,-0.8936194566915441,13.911242603550296,6.366863905325443,4.272189349112426,0.8165680473372781,0.33136094674556216,0.38461538461538464,0.38461538461538464,0.28402366863905326,0.14201183431952663,0.1301775147928994,0.1834319526627219,0.1834319526627219,0.15384615384615385,0.15976331360946747,0.029585798816568046,0.023668639053254437,0.023668639053254437,0.011834319526627219,0.0,0.005917159763313609,0.005917159763313609,0.011834319526627219,0.0,2.7973075406226817,2.6134514292086095,1
27,J.B. DeRosa,3,141,1702,777,579,89,64,47,15,47,26,13,8,1,19,7,0,4,4,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,141.0,0.0,-1.035124339922301,-1.1008394722186228,-0.43224872946041715,-0.6985646703395257,0.7417405360480689,-0.44644039060095614,-1.062858556792436,1.2593168584943177,-0.2705948797101082,-0.8898418072318515,-0.7059313736258173,-1.2544150730452543,0.5428281198987157,-0.6251727938721253,-1.1720242317997394,-0.04453086261313844,0.23763325085517997,-0.5719471820411748,-0.6921830684635563,-0.8611481709855304,0.1504329721038104,-0.7685073747299496,-0.8936194566915441,12.070921985815604,5.51063829787234,4.1063829787234045,0.6312056737588653,0.45390070921985815,0.3333333333333333,0.10638297872340426,0.3333333333333333,0.18439716312056736,0.09219858156028368,0.05673758865248227,0.0070921985815602835,0.1347517730496454,0.04964539007092199,0.0,0.028368794326241134,0.028368794326241134,0.0070921985815602835,0.0,0.0,0.0070921985815602835,0.0,0.0,-3.238588050002975,1.219369960575264,2
28,J.T. Orr,4,228,3208,1463,971,217,98,100,63,71,55,30,16,37,27,23,6,12,3,3,4,0,1,5,1,0,1,0,0,0,1,0,4,0,228.0,0.0,0.3120274313725736,0.31234781647745247,-0.20275008462353708,0.7933144927785047,0.4588268869803605,0.7493202323095228,-0.10200661751335358,0.9573049168039681,0.25938840427695414,-0.17235957180421085,-0.5417468383485422,0.5933988470512375,0.2076863955403876,0.16060922417098603,-0.24261797858126516,1.0730961250910502,-0.38464334258786753,0.08147264416420444,0.6891344767687031,-0.8611481709855304,-0.2268720618227182,2.697161699972868,0.02004598934905547,14.070175438596491,6.416666666666667,4.258771929824562,0.9517543859649122,0.4298245614035088,0.43859649122807015,0.27631578947368424,0.31140350877192985,0.2412280701754386,0.13157894736842105,0.07017543859649122,0.16228070175438597,0.11842105263157894,0.10087719298245613,0.02631578947368421,0.05263157894736842,0.013157894736842105,0.013157894736842105,0.017543859649122806,0.0,0.0043859649122807015,0.021929824561403508,0.008771929824561403,1.447882884327763,0.8662147554156135,1
29,Jacyn Goble,4,181,2477,1181,818,99,65,73,44,36,75,20,15,1,14,11,7,8,3,4,0,1,2,0,0,0,0,0,0,0,0,0,4,0,181.0,0.0,0.05254150614835753,0.4811064373556797,0.18966244836410204,-1.0906498115226442,-0.372053992608486,0.34853122057893926,-0.28985318476080213,-0.592133144265972,1.8739937850035804,-0.5564533191090238,-0.3866080747355615,-1.273077193745358,-0.635220170237235,-0.4544926111446901,0.19384352154895748,0.6846578120674696,-0.2448668119046463,1.0446906676134091,-0.6921830684635563,-0.20740938165148398,0.7021939628487205,-0.7685073747299496,-0.8936194566915441,13.685082872928177,6.524861878453039,4.519337016574585,0.5469613259668509,0.35911602209944754,0.40331491712707185,0.2430939226519337,0.19889502762430938,0.4143646408839779,0.11049723756906077,0.08287292817679558,0.0055248618784530384,0.07734806629834254,0.06077348066298342,0.03867403314917127,0.04419889502762431,0.016574585635359115,0.022099447513812154,0.0,0.0055248618784530384,0.011049723756906077,0.0,0.0,-0.749606867272959,-0.08417632919616054,1
30,James Capers Jr.,4,285,4427,1799,1576,356,96,140,81,85,87,36,23,29,41,23,7,3,24,5,6,1,0,1,2,3,1,1,1,0,0,0,4,4,232.0,53.0,1.2979433225453985,0.14953070852241707,1.7114625558328065,2.1773092937077387,-0.6337900119772554,1.3472005437647623,-0.05736736761603889,0.7760977517897576,0.8565551193375815,-0.2682505625106536,-0.41313561904801005,-0.12728191577172382,0.7297414473122746,-0.14883717346274922,-0.3045783954624967,-0.8664165551094495,2.5221137018755457,0.553945441574248,0.965397985815155,-0.4459666942505746,-0.8383664271519197,-0.2140003227774987,1.2991776138058948,15.533333333333333,6.312280701754386,5.529824561403509,1.249122807017544,0.3368421052631579,0.49122807017543857,0.28421052631578947,0.2982456140350877,0.30526315789473685,0.12631578947368421,0.08070175438596491,0.10175438596491228,0.14385964912280702,0.08070175438596491,0.02456140350877193,0.010526315789473684,0.08421052631578947,0.017543859649122806,0.021052631578947368,0.0035087719298245615,0.0,0.0035087719298245615,0.021052631578947368,0.46925866363272944,0.3732062880607525,0
31,James Williams,4,267,3835,1639,1210,254,108,100,83,76,103,48,29,70,48,18,12,12,11,4,0,3,3,1,2,1,0,0,0,0,0,0,4,3,250.0,17.0,0.5095400186295985,-0.12140581405330934,0.20848479416805837,0.7912502666659526,0.1611773819643467,0.021563298890224375,0.09332493166278671,0.5887824800896752,1.6073105031478332,0.7057433206199579,-0.0720991274196328,1.78279789137801,1.4668079365245008,-0.35261526042429064,0.4152763354947334,0.718971618874667,0.7624954826997465,0.27789391949197545,-0.6921830684635563,0.4683655466488787,0.7281584638037875,-0.17661782489306382,-0.5035151089438723,14.363295880149813,6.138576779026217,4.531835205992509,0.951310861423221,0.4044943820224719,0.37453183520599254,0.31086142322097376,0.2846441947565543,0.3857677902621723,0.1797752808988764,0.10861423220973783,0.26217228464419473,0.1797752808988764,0.06741573033707865,0.0449438202247191,0.0449438202247191,0.04119850187265917,0.0149812734082397,0.0,0.011235955056179775,0.011235955056179775,0.003745318352059925,0.003745318352059925,2.418030153934003,-0.5451001679985363,0
